4
5 4
194 819 449 405
560 410 914 534
302 670 856 448
933 239 259 477
591 455 665 652
3 5
558	777	773	761	995
252	632	580	639	818
590	828	372	386	489
2 2
987	707
635	409
25 25
242	146	842	531	923	733	126	740	258	917	535	630	794	328	130	675	715	913	608	149	170	558	798	226	964
164	643	495	345	176	327	739	292	751	514	898	552	921	506	137	206	847	429	706	106	928	784	328	683	858
570	506	948	291	360	124	549	419	757	598	833	554	613	312	564	652	554	113	876	748	979	633	447	849	448
642	265	262	916	634	609	746	907	300	181	274	938	177	866	525	581	253	367	948	869	465	991	619	141	853
687	130	518	198	680	506	243	514	818	552	443	478	553	846	174	157	398	262	913	818	519	149	348	375	367
435	672	243	786	731	359	384	699	150	141	742	628	896	964	526	548	483	292	944	290	851	707	297	184	205
534	432	214	127	958	947	852	875	976	725	367	279	735	239	309	460	276	447	854	119	701	725	621	164	536
196	265	957	997	253	257	821	923	727	240	559	422	575	971	594	515	830	872	763	865	815	152	526	636	769
522	701	425	455	159	929	597	182	818	892	602	910	266	879	407	734	882	329	918	272	375	540	596	441	179
624	230	205	630	747	318	818	376	185	406	802	567	276	502	864	294	913	575	746	468	290	745	275	302	740
701	174	117	171	695	265	720	651	475	429	775	902	590	707	799	291	610	333	771	703	917	875	955	934	113
858	974	246	448	227	235	964	463	444	782	938	420	276	910	762	999	599	328	648	345	513	621	456	129	282
565	858	435	255	828	893	942	490	125	247	755	574	520	121	222	482	119	653	826	343	456	761	870	608	627
556	432	143	508	346	290	107	278	871	796	701	701	331	281	269	179	966	692	546	400	815	620	818	587	240
942	559	202	976	841	358	775	220	254	801	447	174	270	986	657	665	728	418	451	353	431	402	884	410	571
242	687	786	128	668	182	118	942	949	663	229	261	836	983	130	463	251	809	683	917	920	625	101	978	491
526	805	466	830	724	294	634	175	645	788	417	825	561	999	638	695	398	802	129	666	876	145	953	606	288
650	400	947	619	603	659	126	930	820	867	162	438	421	366	858	470	185	454	418	502	854	712	600	439	997
723	168	746	936	744	255	422	433	736	213	847	197	628	643	615	434	147	331	469	952	139	753	146	998	677
965	727	209	117	996	991	333	566	911	321	729	826	697	933	362	115	162	838	836	972	177	500	119	890	231
378	239	821	145	605	433	489	938	859	880	595	951	328	305	355	648	927	459	253	227	747	198	777	781	581
444	785	851	998	236	590	105	102	457	521	260	346	800	914	707	887	367	146	575	240	791	584	260	250	175
388	360	229	955	358	238	837	846	154	928	814	748	382	197	172	793	915	139	506	741	282	860	125	989	776
136	449	304	613	832	274	670	513	806	713	655	118	998	481	711	396	973	320	928	793	227	436	491	360	742
258	967	332	585	273	665	132	612	427	201	281	112	988	429	201	822	547	341	703	384	868	770	752	318	345
