1:
194	239	259	405	
302	410	448	449	
455	477	560	665	
534	591	670	856	
652	819	914	933	
++++++++++++
2:
252	372	386	489	632	
558	580	639	777	818	
590	761	773	828	995	
++++++++++++
3:
409	635	
707	987	
++++++++++++
4:
101	102	105	106	112	113	113	115	117	117	119	121	124	125	129	129	130	130	136	139	141	145	159	162	177	
107	118	119	119	127	130	139	141	143	146	147	149	150	157	164	170	175	175	176	181	182	197	229	253	266	
118	125	128	137	146	149	152	154	162	164	168	174	177	179	179	182	196	201	202	227	235	239	260	270	418	
126	145	146	172	174	184	185	185	197	198	205	205	206	213	220	227	227	236	238	242	262	274	276	281	451	
126	171	174	209	226	230	231	240	240	242	251	253	254	255	260	261	276	278	281	282	291	292	305	402	469	
132	198	201	214	239	240	247	250	253	257	258	258	272	273	275	279	290	292	294	312	320	328	367	436	506	
222	229	243	255	265	265	276	282	290	297	300	302	321	328	328	331	346	346	375	376	378	396	417	500	546	
243	265	269	274	288	291	318	328	329	333	343	358	366	367	382	388	406	419	420	427	431	434	443	540	575	
246	290	309	331	345	345	345	348	360	360	360	384	398	421	422	429	429	433	435	444	447	456	460	558	608	
262	294	333	353	355	367	375	398	400	422	438	444	447	448	457	463	463	465	481	514	520	535	584	603	648	
304	318	341	362	384	410	432	448	455	456	470	475	478	483	489	490	502	513	521	522	553	559	605	620	683	
327	332	367	400	407	432	439	482	491	491	506	508	513	519	526	547	549	552	552	561	595	621	634	645	703	
358	418	425	441	449	468	514	515	525	526	531	534	536	554	554	575	597	598	602	625	643	668	701	706	727	
359	429	435	502	506	526	548	556	566	567	571	585	587	590	596	599	633	634	655	663	680	707	736	746	747	
433	447	466	559	564	565	574	581	581	600	606	610	612	613	613	666	670	695	701	707	713	751	763	791	846	
454	495	506	570	594	608	619	619	627	628	628	643	648	651	703	712	715	720	724	725	729	757	771	815	866	
459	518	590	615	621	624	630	630	636	652	672	677	697	699	725	728	731	739	741	742	782	806	815	826	879	
575	609	638	642	665	683	687	701	735	740	740	744	745	746	746	748	752	755	786	788	818	830	836	851	910	
650	653	657	659	675	701	742	747	748	753	775	775	777	781	786	793	794	796	818	830	846	847	854	854	914	
665	687	692	695	707	727	761	769	798	800	801	802	818	818	820	821	825	828	849	868	875	876	882	916	933	
701	711	733	734	770	776	785	802	814	818	821	826	832	836	842	859	865	867	876	890	907	913	913	936	964	
723	762	784	793	805	809	833	837	841	851	853	869	870	871	880	893	896	902	915	917	918	923	934	955	971	
799	822	838	847	852	858	858	858	860	884	892	910	911	917	920	921	923	927	928	929	930	947	976	978	983	
858	872	875	887	898	917	928	938	938	942	942	944	947	948	949	952	953	958	964	966	967	986	988	989	997	
864	913	928	938	942	948	951	955	957	964	965	972	973	974	976	979	991	991	996	997	998	998	998	999	999	
++++++++++++
